秖代ら戳	丁	ID	翴	翴	秖代	cell pos.	Target Vpk	Initial Vpk	OD_Rise	OD_fall	Normalized_V	Specific_target	Photo Sensor	放Sensor	放	玻珇	Rise-mean (10-90)	Rise-stdev (10-90)	Fall-mean (10-90)	Fall-stdev (10-90)	Rise-mean (5-95)	Rise-stdev (5-95)	Fall-mean (5-95)	Fall-stdev (5-95)	Vcom	Flicker	Base lv-mean	Top lv-mean	WXT (%)	BXT (%)	WXT_*	BXT_*	Overshooting or not	Overshooting %	獹ΛЮ丁	overshooting_peak	overshooting_top	(RisePeak-top)/top	(FallPeak-base)/base	delta_peak	delta_v	delta_m	c_a	peak	top	HLH_(Peak-Top)	HLH_area
2021/03/24	15:31:09	T19BR001NP2G	6	ART-R03	11067785	6	4	0.2	4	0.2	0	0	1	Dev3 : USB-TC01_ch0	22.958	TB2224CL	13.6892	0.0246448	9.97476	0.00728048	18.4574	0.0155207	13.2626	0.0159114	0	0.00012164	0.00561389	2.39816	-	-	-	-	X	0.878343	0.20675	2.41914	2.39808	-0.311376	90.2252	0.00518968	0.00195764	7.9835e-006	0.00399494	0.687895	2.39808	-92142.2	0.0373935
2021/03/24	15:31:09	T19BR001NN2A	5	ART-R03	11067785	14	4	0.2	4	0.2	0	0	2	Dev3 : USB-TC01_ch0	22.958	TB2224CL	12.2451	0.336508	8.82057	0.0194724	16.8872	1.66331	11.7271	0.0297897	0	4.01824e-005	0.00471389	2.50186	-	-	-	-	X	0.105429	0.2417	2.5223	2.51965	-0.27215	82.4505	0.00499076	0.00171544	1.08288e-006	0.00379174	0.727354	2.51965	14509.6	0.0393386
2021/03/24	15:31:09	T19BR001NN24	5	ART-R03	11067785	13	4	0.2	4	0.2	0	0	3	Dev3 : USB-TC01_ch0	22.958	TB2224CL	13.0063	0.278761	9.24044	0.0103052	18.1587	1.26054	12.2905	0.0144606	0	0.000140387	0.00834755	2.85086	-	-	-	-	V	1.88531	0.1922	2.86439	2.81138	-0.283461	53.5179	0.00507564	0.00145309	7.96178e-005	0.00491551	0.715717	2.81138	60.29	0.00565718
2021/03/24	15:31:27	T19BR001NP2A	6	ART-R03	11067785	5	4.5	0.2	4.5	0.2	0	0	0	Dev3 : USB-TC01_ch0	22.813	TB2224CL	12.0541	0.0297903	10.3416	0.0190632	16.6972	0.0195559	13.7328	0.0339535	0	0.000128034	0.00505809	2.73838	-	-	-	-	X	0.66275	0.25815	2.75528	2.73714	-0.248291	137.565	0.00473259	0.00131053	2.17955e-005	0	0.751246	2.73714	80927.9	0.0426313
2021/03/24	15:31:28	T19BR001NP2G	6	ART-R03	11067785	6	4.5	0.2	4.5	0.2	0	0	1	Dev3 : USB-TC01_ch0	22.813	TB2224CL	11.7986	0.0061503	10.2042	0.00297021	15.7739	0.0109807	13.537	0.00530682	0	7.74835e-005	0.00560676	2.63367	-	-	-	-	X	0.680264	0.27445	2.65146	2.63355	-0.241379	117.395	0.00470377	0.0012547	2.36115e-005	0	0.758104	2.63355	-48865.4	0.0410267
2021/03/24	15:31:28	T19BR001NN2A	5	ART-R03	11067785	14	4.5	0.2	4.5	0.2	0	0	2	Dev3 : USB-TC01_ch0	22.813	TB2224CL	10.7397	0.214422	9.00591	0.0152112	13.7075	0.438153	11.9522	0.0198145	0	6.12235e-005	0.00477902	2.74352	-	-	-	-	V	1.42866	0.2263	2.76738	2.7284	-0.192169	86.0926	0.00445046	0.000842087	6.10002e-005	0	0.807492	2.7284	45096.2	0.0431038
2021/03/24	15:31:28	T19BR001NN24	5	ART-R03	11067785	13	4.5	0.2	4.5	0.2	0	0	3	Dev3 : USB-TC01_ch0	22.813	TB2224CL	11.4008	0.220904	9.46262	0.0171592	14.63	0.428586	12.5572	0.0304244	0	0.000131987	0.00847941	3.13167	-	-	-	-	X	0.141313	0.22515	3.15134	3.1469	-0.226267	66.6858	0.00464891	0.00133026	6.77818e-007	0	0.773122	3.1469	1.31305e+006	0.0489325
2021/03/24	15:31:46	T19BR001NP2A	6	ART-R03	11067785	5	4.75	0.2	4.75	0.2	0	0	0	Dev3 : USB-TC01_ch0	22.889	TB2224CL	11.224	0.147721	10.3871	0.0193197	15.1684	0.393277	13.7884	0.0383692	0	0.000160488	0.00506416	2.82674	-	-	-	-	X	0.949653	0.2081	2.84792	2.82113	-0.218979	131.1	0.00454229	0.0010497	3.45169e-005	0	0.780623	2.82113	-49315.1	0.0439079
2021/03/24	15:31:46	T19BR001NP2G	6	ART-R03	11067785	6	4.75	0.2	4.75	0.2	0	0	1	Dev3 : USB-TC01_ch0	22.889	TB2224CL	11.1819	0.197749	10.3129	0.0167645	15.3062	0.476806	13.6834	0.0274502	0	9.78225e-005	0.00559658	2.72885	-	-	-	-	X	0.0695594	0.1863	2.74032	2.73842	-0.218558	362.659	0.00447821	0.00130645	4.2569e-007	0	0.780994	2.73842	-72275.8	0.0422624
2021/03/24	15:31:46	T19BR001NN2A	5	ART-R03	11067785	14	4.75	0.2	4.75	0.2	0	0	2	Dev3 : USB-TC01_ch0	22.889	TB2224CL	10.1586	0.178618	9.08532	0.0172583	12.9881	0.354287	12.0482	0.0282782	0	4.87201e-005	0.00474385	2.82972	-	-	-	-	V	1.23677	0.2431	2.8518	2.81696	-0.166277	92.4087	0.00423618	0.000697058	5.39271e-005	0	0.833441	2.81696	60946.9	0.0444244
