秖代ら戳	丁	ID	翴	翴	秖代	cell pos.	Target Vpk	Initial Vpk	OD_Rise	OD_fall	Normalized_V	Specific_target	Photo Sensor	放Sensor	放	玻珇	Rise-mean (10-90)	Rise-stdev (10-90)	Fall-mean (10-90)	Fall-stdev (10-90)	Rise-mean (5-95)	Rise-stdev (5-95)	Fall-mean (5-95)	Fall-stdev (5-95)	Vcom	Flicker	Base lv-mean	Top lv-mean	WXT (%)	BXT (%)	WXT_*	BXT_*	Overshooting or not	Overshooting %	獹ΛЮ丁	overshooting_peak	overshooting_top	(RisePeak-top)/top	(FallPeak-base)/base	delta_peak	delta_v	delta_m	c_a	peak	top	HLH_(Peak-Top)	HLH_area
2021/06/10	11:24:05	T108C001NM27	6	ART-R03	21004350	2	6.25	0.2	6.25	0.2	0	0	1	Dev3 : USB-TC01_ch0	2065.958	TB2224CL	4.67264	0.00155701	5.42647	0.000877804	6.16261	0.00956372	7.20298	0.00164985	0	3.62081e-005	0.00237138	2.27262	-	-	-	-	V	1.96513	0.2345	2.31704	2.27238	-0.0206529	35.2603	0.00239588	7.31478e-005	1.21414e-005	0.00258781	0.979326	2.27238	170.01	0.0028701
2021/06/10	11:24:06	T108C001NM2K	5	ART-R03	21004350	10	6.25	0.2	6.25	0.2	0	0	2	Dev3 : USB-TC01_ch0	2065.958	TB2224CL	4.85971	0.00462966	6.25847	0.00304657	6.43231	0.00622317	8.29234	0.00607401	0	6.86226e-005	0.00523518	2.6989	-	-	-	-	V	2.26886	0.25125	2.75991	2.69868	-0.0261225	30.2713	0.00246486	6.82997e-005	1.58293e-005	0	0.973827	2.69868	42.7108	0.00311905
2021/06/10	11:24:06	T108C001NM2E	5	ART-R03	21004350	9	6.25	0.2	6.25	0.2	0	0	3	Dev3 : USB-TC01_ch0	2065.958	TB2224CL	4.87636	0.00541048	6.01317	0.00337021	6.44977	0.00439147	7.98214	0.00388465	0	2.91927e-005	0.00598741	2.9345	-	-	-	-	V	2.01629	0.21775	2.99375	2.93458	-0.0237836	25.5044	0.00245655	7.40754e-005	1.38408e-005	0	0.976167	2.93458	120.431	0.00303388
2021/06/10	11:24:06	T108C001NM2X	6	ART-R03	21004350	17	6.25	0.2	6.25	0.2	0	0	4	Dev3 : USB-TC01_ch0	2065.958	TB2224CL	6.241	0.0055918	10.7108	0.00397355	8.47538	0.0190067	14.1816	0.004428	0	0.000123436	0.0056585	2.8332	-	-	-	-	X	0.0756675	0.24355	2.83536	2.83322	-0.0636053	479.202	0.00285199	0.000338009	2.11091e-007	0	0.936269	2.83322	68524.8	0.0432289
2021/06/10	11:24:06	T108C001NM24	6	ART-R03	21004350	18	6.25	0.2	6.25	0.2	0	0	5	Dev3 : USB-TC01_ch0	2065.958	TB2224CL	4.75161	0.00732788	6.06628	0.00428984	6.35078	0.0119617	8.03607	0.0051489	0	0.000146574	0.00317312	2.20079	-	-	-	-	V	2.2222	0.2572	2.24912	2.20023	-0.0261573	37.012	0.00235295	9.39481e-006	6.28283e-005	0	0.973805	2.20023	32.5765	0.00288995
2021/06/10	11:24:06	NAN	5	ART-R03	21004350	26	6.25	0.2	6.25	0.2	0	0	6	Dev3 : USB-TC01_ch0	2065.958	TB2224CL	3.80386	0.0134834	2.70595	0.00595448	5.07132	0.0241981	3.65409	0.0276048	0	0.000243417	0.00101445	0.192705	-	-	-	-	V	2.1197	0.1749	0.196742	0.192658	-0.00798122	0.0688092	0.00176387	0.00901721	2.9613e-006	0.140778	0.991976	0.192658	-19.7509	8.27191e-008
2021/06/10	11:24:07	NAN	5	ART-R03	21004350	25	6.25	0.2	6.25	0.2	0	0	7	Dev3 : USB-TC01_ch0	2065.958	TB2224CL	3.97541	0.00735368	2.94793	0.00486325	5.3007	0.0196844	3.93075	0.0208997	0	0.000187482	0.00109274	0.323155	-	-	-	-	V	1.1067	0.15835	0.326725	0.323148	-0.0063288	0.574766	0.00207131	0.000166351	2.1441e-006	0.0749929	0.99365	0.323148	21.0536	4.63995e-008
2021/06/10	11:24:35	T108C001NM21	6	ART-R03	21004350	1	6.5	0.2	6.5	0.2	0	0	0	Dev3 : USB-TC01_ch0	2065.958	TB2224CL	4.79917	0.00499714	5.80671	0.00508419	6.34192	0.0100119	7.71887	0.00280928	0	8.22076e-005	0.00429195	2.42596	-	-	-	-	V	2.45531	0.23455	2.48522	2.42566	-0.0218237	26.6409	0.00235919	6.94491e-005	1.69003e-005	0.000333109	0.978138	2.42566	22.3372	0.00329909
2021/06/10	11:24:35	T108C001NM27	6	ART-R03	21004350	2	6.5	0.2	6.5	0.2	0	0	1	Dev3 : USB-TC01_ch0	2065.958	TB2224CL	4.52344	0.00135116	5.43496	0.00140125	5.97231	0.00439691	7.2145	0.00264399	0	3.85329e-005	0.00236691	2.28389	-	-	-	-	V	2.44908	0.18455	2.33952	2.2836	-0.016105	35.0185	0.00223367	6.04163e-005	1.50574e-005	0.00506778	0.983878	2.2836	-49.6113	0.0022531
2021/06/10	11:24:35	T108C001NM2K	5	ART-R03	21004350	10	6.5	0.2	6.5	0.2	0	0	2	Dev3 : USB-TC01_ch0	2065.958	TB2224CL	4.67283	0.00552285	6.26409	0.00211145	6.18109	0.00524946	8.29198	0.00868794	0	7.29081e-005	0.00525449	2.70732	-	-	-	-	V	2.64139	0.1682	2.77852	2.70702	-0.0193688	30.6204	0.00233759	4.70899e-006	1.93532e-005	0	0.980594	2.70702	29.7567	0.00342445
